Z,Drift,CCS,CCS Std.Dev.
21,0.000138,2109.28,54.5015
21,0.000276,2173.16,53.0095
21,0.000415,2235.81,51.6444
21,0.000553,2296.51,50.3766
21,0.000691,2355.76,49.1892
21,0.00083,2414.06,48.0733
21,0.000968,2470.67,46.9967
21,0.001106,2526.07,45.9864
21,0.001244,2580.34,45.0319
21,0.001383,2633.9,44.1184
21,0.001521,2686.09,43.3011
21,0.001659,2737.36,42.5605
21,0.001797,2787.73,41.8186
21,0.001936,2837.62,41.1107
21,0.002074,2886.32,40.4414
21,0.002212,2934.25,39.8454
21,0.00235,2981.42,39.183
21,0.002489,3028.19,38.5628
21,0.002627,3073.98,38.0374
21,0.002765,3119.09,37.5321
21,0.002903,3163.66,37.0304
21,0.003042,3207.91,36.5588
21,0.00318,3251.28,36.1153
21,0.003318,3294.1,35.6672
21,0.003456,3336.39,35.2584
21,0.003595,3378.48,34.8691
21,0.003733,3419.77,34.4724
21,0.003871,3460.59,34.1006
21,0.004009,3500.96,33.7441
21,0.004148,3541.16,33.384
21,0.004286,3580.65,33.0476
21,0.004424,3619.58,32.5799
21,0.004562,3658.11,32.1928
21,0.004701,3696.53,31.8844
21,0.004839,3734.33,31.6296
21,0.004977,3771.86,31.4128
21,0.005115,3809.02,31.2127
21,0.005253,3845.85,30.9727
21,0.005392,3882.6,30.7192
21,0.00553,3918.73,30.4753
21,0.005668,3954.53,30.2511
21,0.005806,3990.02,30.014
21,0.005945,4025.47,29.7746
21,0.006083,4060.36,29.5464
21,0.006221,4094.97,29.3091
21,0.006359,4129.27,29.0859
21,0.006498,4163.51,28.8462
21,0.006636,4197.24,28.6392
21,0.006774,4230.7,28.4501
21,0.006912,4263.93,28.2691
21,0.007051,4297.14,28.0959
21,0.007189,4329.88,27.9319
21,0.007327,4362.37,27.7696
21,0.007465,4394.63,27.6075
21,0.007604,4426.89,27.4539
21,0.007742,4458.69,27.2979
21,0.00788,4490.28,27.146
21,0.008019,4521.87,26.9972
21,0.008157,4553.03,26.8533
21,0.008295,4583.98,26.7132
21,0.008433,4614.72,26.5768
