[PARAMETERS]
g, dg, a, da, c, dc, t0, dt0
1.49568,0.00277846,0.513949,0.00963883,0.981966,0.0136002,0.00458756,8.90563e-05

[DIAGNOSTICS]
ID,Mass,Z,Mobility,Alpha,Gamma,Model Vel.,Exp. Vel.,Error %
BSA_15,66400,15,0.0250229,0.481073,0.108509,12.8957,14.8702,-13.278
BSA_16,66400,16,0.0268105,0.483225,0.116261,14.6953,16.1859,-9.20982
myoglobin_15,17000,15,0.0276901,0.136294,0.120075,16.6817,17.2262,-3.16086
myoglobin_16,17000,16,0.0286882,0.132382,0.124403,17.7781,18.3227,-2.97246
myoglobin_17,17000,17,0.0295618,0.128389,0.128191,18.7549,19.2131,-2.38482
myoglobin_18,17000,18,0.0303843,0.124629,0.131758,19.6959,19.9656,-1.35055
myoglobin_19,17000,19,0.0311599,0.121084,0.135121,20.6023,20.629,-0.129667
myoglobin_20,17000,20,0.0318927,0.117735,0.138299,21.4752,21.2598,1.0131
myoglobin_21,17000,21,0.0326536,0.114804,0.141598,22.4093,21.9255,2.20653
myoglobin_22,17000,22,0.0335133,0.11247,0.145326,23.5066,22.637,3.84158
myoglobin_23,17000,23,0.0344072,0.11045,0.149203,24.6829,23.4186,5.39869
myoglobin_24,17000,24,0.0353389,0.108714,0.153243,25.9469,24.3171,6.70206

[CALIBRATED DATA]
ID,Mass,Z,Drift,CCS,CCS Std.Dev.
1,147065,21,0.000138,2109.28,54.5015
2,147065,21,0.000276,2173.16,53.0095
3,147065,21,0.000415,2235.81,51.6444
4,147065,21,0.000553,2296.51,50.3766
5,147065,21,0.000691,2355.76,49.1892
6,147065,21,0.00083,2414.06,48.0733
7,147065,21,0.000968,2470.67,46.9967
8,147065,21,0.001106,2526.07,45.9864
9,147065,21,0.001244,2580.34,45.0319
10,147065,21,0.001383,2633.9,44.1184
11,147065,21,0.001521,2686.09,43.3011
12,147065,21,0.001659,2737.36,42.5605
13,147065,21,0.001797,2787.73,41.8186
14,147065,21,0.001936,2837.62,41.1107
15,147065,21,0.002074,2886.32,40.4414
16,147065,21,0.002212,2934.25,39.8454
17,147065,21,0.00235,2981.42,39.183
18,147065,21,0.002489,3028.19,38.5628
19,147065,21,0.002627,3073.98,38.0374
20,147065,21,0.002765,3119.09,37.5321
21,147065,21,0.002903,3163.66,37.0304
22,147065,21,0.003042,3207.91,36.5588
23,147065,21,0.00318,3251.28,36.1153
24,147065,21,0.003318,3294.1,35.6672
25,147065,21,0.003456,3336.39,35.2584
26,147065,21,0.003595,3378.48,34.8691
27,147065,21,0.003733,3419.77,34.4724
28,147065,21,0.003871,3460.59,34.1006
29,147065,21,0.004009,3500.96,33.7441
30,147065,21,0.004148,3541.16,33.384
31,147065,21,0.004286,3580.65,33.0476
32,147065,21,0.004424,3619.58,32.5799
33,147065,21,0.004562,3658.11,32.1928
34,147065,21,0.004701,3696.53,31.8844
35,147065,21,0.004839,3734.33,31.6296
36,147065,21,0.004977,3771.86,31.4128
37,147065,21,0.005115,3809.02,31.2127
38,147065,21,0.005253,3845.85,30.9727
39,147065,21,0.005392,3882.6,30.7192
40,147065,21,0.00553,3918.73,30.4753
41,147065,21,0.005668,3954.53,30.2511
42,147065,21,0.005806,3990.02,30.014
43,147065,21,0.005945,4025.47,29.7746
44,147065,21,0.006083,4060.36,29.5464
45,147065,21,0.006221,4094.97,29.3091
46,147065,21,0.006359,4129.27,29.0859
47,147065,21,0.006498,4163.51,28.8462
48,147065,21,0.006636,4197.24,28.6392
49,147065,21,0.006774,4230.7,28.4501
50,147065,21,0.006912,4263.93,28.2691
51,147065,21,0.007051,4297.14,28.0959
52,147065,21,0.007189,4329.88,27.9319
53,147065,21,0.007327,4362.37,27.7696
54,147065,21,0.007465,4394.63,27.6075
55,147065,21,0.007604,4426.89,27.4539
56,147065,21,0.007742,4458.69,27.2979
57,147065,21,0.00788,4490.28,27.146
58,147065,21,0.008019,4521.87,26.9972
59,147065,21,0.008157,4553.03,26.8533
60,147065,21,0.008295,4583.98,26.7132
61,147065,21,0.008433,4614.72,26.5768
62,147065,21,0.008571,4645.27,26.444
63,147065,21,0.00871,4675.84,26.3136
64,147065,21,0.008848,4705.99,26.1876
65,147065,21,0.008986,4735.96,26.0648
66,147065,21,0.009125,4765.96,25.9443
67,147065,21,0.009263,4795.56,25.8277
68,147065,21,0.009401,4824.98,25.714
69,147065,21,0.009539,4854.23,25.6033
70,147065,21,0.009677,4883.3,25.4953
71,147065,21,0.009816,4912.41,25.3893
72,147065,21,0.009954,4941.15,25.2867
73,147065,21,0.010092,4969.72,25.1866
74,147065,21,0.010231,4998.34,25.0883
75,147065,21,0.010369,5026.6,24.9932
76,147065,21,0.010507,5054.69,24.9004
77,147065,21,0.010645,5082.64,24.81
78,147065,21,0.010783,5110.43,24.7217
79,147065,21,0.010922,5138.28,24.635
80,147065,21,0.01106,5165.78,24.5511
81,147065,21,0.011198,5193.14,24.4692
82,147065,21,0.011337,5220.55,24.3887
83,147065,21,0.011475,5247.62,24.3108
84,147065,21,0.011613,5274.56,24.2348
85,147065,21,0.011751,5301.36,24.1607
86,147065,21,0.011889,5328.03,24.0883
87,147065,21,0.012028,5354.76,24.0173
88,147065,21,0.012166,5381.16,23.9485
89,147065,21,0.012304,5407.44,23.8813
90,147065,21,0.012443,5433.78,23.8154
